"Champs" "Desire"
"Crosby, Stills, Nash & Young" "Helpless"
"Crosby, Stills, Nash & Young" "Ohio - Stereo 45 RPM Single"
"Death Cab for Cutie" "Black Sun"
"Desert Dwellers" "Seeing Things"
"Holly Herndon" "Home"
"Holly Herndon" "Locker Leak"
"Incubus" "Summer Romance (Anti-Gravity Love Song)"
"Jaakko Eino Kalevi" "Deeper Shadows"
"New Order" "Academic"
"Orbital" "Halcyon And On And On"
"Simon & Garfunkel" "Cloudy"
"Simon & Garfunkel" "The Sound of Silence"
"The Bohicas" "Where You At"
"Toundra" "Lluvia"
"Ultimate Painting" "Can't You See?"
"Ultimate Painting" "Ultimate Painting"
"Vessels" "As You Are"
"Paul Simon" "You Can Call Me Al"
"Gary Moore" "Still Got the Blues"
"Massive Attack" "Teardrop"
"Radiohead" "Kid A"
"Lou Reed" "Walk on the Wild Side"
"iamamiwhoami" "goods"
"Zero 7" "In the Waiting Line"
"Cake" "Satan Is My Motor"
"Lemon Jelly" "Space Walk"
"Franz Ferdinand" "Take Me Out"
"Buffalo Springfield" "For What It's Worth"
"Marcel et son orchestre" "Raoul et Alain"
"Joan Baez" "Diamonds And Rust"
"Nick Drake" "Place to Be"
"The Flaming Lips" "Fight Test"
"Orchestral Manoeuvres in the Dark" "Enola Gay"
"Celtic Cross" "Hicksville"
"Mastodon" "Chimes at Midnight"
"Thomas Dutronc" "J'Aime Plus Paris"
"Silverchair" "Suicidal Dream"
"Villagers" "My Lighthouse"
"The Postal Service" "Such Great Heights"
"Wolf Alice" "Bros"
"Nick Cave & The Bad Seeds" "Into My Arms"
"Bob Dylan" "The Times They Are a-Changin'"
"Jim Croce" "Bad, Bad Leroy Brown"
"Queens of the Stone Age" "The Lost Art of Keeping a Secret"
"The Tornadoes" "Bustin' Surfboards"
"The Rolling Stones" "Gimme Shelter"
"The Herbaliser" "Gadget Funk"
"Aphex Twin" "Avril 14th"
"Tom Waits" "I Hope That I Don't Fall in Love With You"
"Sascha Funke" "Mango"
"Lamb" "Angelica"
"Sting" "Fields of Gold"
"The Police" "Every Breath You Take"
"Bon Iver" "Skinny Love"
"Actress" "Time"
"Tom McRae" "Draw Down The Stars"
"The Velvet Underground" "Sunday Morning"
"Dead Can Dance" "The Host of Seraphim"
"Stereolab" "Come And Play In The Milky Night"
"Lou Reed" "Perfect Day"
"The Byrds" "Hickory Wind"
"Art Blakey & The Jazz Messengers" "Moanin'"
"Biosphere" "Poa Alpina"
"Jefferson Airplane" "White Rabbit"
"Hooverphonic" "Mad About You"
"Less Than Jake" "All My Best Friends Are Metalheads"
"The Future Sound of London" "Papua New Guinea"
"Deep Forest" "Marta's song"
"Zero 7" "Distractions"
"The Band" "The Weight"
"UNKLE" "Rabbit in Your Headlights"
"Pearl Jam" "Alive"
"Daft Punk" "Nightvision"
"Forest Swords" "Miarches"
"Eagles" "Hotel California"
"Placebo" "Pure Morning"
"The Mars Volta" "The Widow"
"AC/DC" "You Shook Me All Night Long"
"Sparklehorse" "Wish You Were Here"
"Dire Straits" "Sultans of Swing"
"Miles Davis" "Blue in Green"
"Kid Loco" "Relaxin' With Cherry"
"James Blake" "Limit to Your Love"
"Eat Static" "Flippity Flippity"
"Band of Horses" "The Funeral"
"Depeche Mode" "Enjoy the Silence"
"The Verve" "Bitter Sweet Symphony"
"Morcheeba" "Shoulder Holster"
"Wham!" "Wake Me up Before You Go-Go"
"NOFX" "Leave It Alone"
"Yazoo" "Don't Go"
"Alanis Morissette" "Ironic"
"Nina Simone" "Feeling Good"
"Boards of Canada" "Uritual"
"Four Tet" "Love Cry (Joy Orbison remix)"
"Deptford Goth" "Life After Defo"
"Sting" "Fragile"
"Laurel Halo" "Oneiroi"
"Scott McKenzie" "San Francisco (Be Sure to Wear Flowers in Your Hair)"
"Röyksopp" "So Easy"
"Leonard Cohen" "Bird on the Wire"
"The Cinematic Orchestra" "To Build a Home"
"Nancy Sinatra" "These Boots Are Made for Walkin'"
"Sepultura" "Territory"
"Sigur Rós" "Hoppípolla"
"Spiritualized" "Ladies and Gentlemen We Are Floating in Space"
"Dido" "White Flag"
"Amon Tobin" "Defocus"
"John Zorn" "The Sicilian Clan"
"Soul Asylum" "Runaway Train"
"Ludwig Von 88" "Houlala"
"Apollo 440" "Ain't Talkin' 'Bout Dub"
"Goldfrapp" "Lovely Head"
"MGMT" "Kids"
"Nightmares on Wax" "Les Nuits"
"Herman's Hermits" "No Milk Today"
"Death Cab for Cutie" "I Will Follow You Into The Dark"
"Radiohead" "Creep"
"Cream" "White Room"
"Orbital" "Belfast"
"Eels" "Flyswatter"
"Fear Factory" "Linchpin"
"Leftfield" "Open Up"
"As de Trêfle" "Jessica"
"Me First and the Gimme Gimmes" "The Boxer"
"The Strokes" "Someday"
"The Stooges" "We Will Fall"
"St. Vincent" "Hysterical Strength"
"ColdWorld" "Winterreise"
"Mr. Scruff" "Get a Move On"
"Iron & Wine" "Such Great Heights"
"Duke Ellington" "In A Sentimental Mood"
"Cat Power" "Sea of Love"
"Erik Truffaz" "Yuri's Choice"
"The Crusaders" "Street Life"
"Joni Mitchell" "A Case of You"
"Snow Patrol" "Chasing Cars"
"Java" "Le Poil"
"Fever Ray" "Keep the Streets Empty for Me"
"Thomas Fersen" "Deux Pieds"
"Siouxsie and the Banshees" "The Passenger"
"The Caretaker" "Bedded deep in long term memory"
"The Orb" "Little Fluffy Clouds"
