" Earl Sweatshirt"," I Don't Like Shit, I Don't Go Outside: An Album by Earl Sweatshirt"
" Gong"," Camembert Electrique (Remastered Edition)"
" Hans Zimmer"," Chappie (Original Motion Picture Soundtrack)"
" Gramatik"," Coffee Shop Selection"
" Judas Priest"," Defenders of the Faith (30th Anniversary Edition) [Remastered]"
" Joan Baez"," Diamantes"
" Moonspell"," Extinct (Deluxe Version)"
" Matthew E. White"," Fresh Blood"
" Marina and The Diamonds"," FROOT"
" Xavier Rudd"," Nanna"
" Madonna"," Rebel Heart"
" Laura Marling"," Short Movie"
" Seasick Steve"," Sonic Soul Surfer"
" Modest Mouse"," Strangers to Ourselves"
" Sixpence None The Richer"," The Ultimate Collection"
" Kendrick Lamar"," To Pimp A Butterfly"
" L.A. Guns"," Toronto 1990 (Live)"
" Sinsémilia"," Un autre monde est possible"
